X,Y,field_1,feature_id,longitude,latitude,year,canton,accidentday,accidenttype,severity,accidenttypecode,roadtype,day,time,month-year,start-time,end-time
7.58576955501238,47.5488390050124,318,CC3043A9EBFC002AE0430A839427E764,611076.999356206,266468.000926844,2012,BS,Dienstag / 14h-15h / Oktober 2012,Abbiegeunfall,Unfall mit Leichtverletzten,3,Nebenstrasse,Dienstag , 14h-15h , Oktober 2012,1400,15h 
7.58080325858437,47.5495646533685,319,C6AD3CE5FF250142E0430A839427DF5C,610703.000214298,266547.999272898,2012,BS,Dienstag / 05h-06h / Juli 2012,Abbiegeunfall,Unfall mit Leichtverletzten,3,Nebenstrasse,Dienstag , 05h-06h , Juli 2012,500,06h 
7.58307540596542,47.5497687210996,320,C0C6AA0E83860144E0430A839427F0E2,610873.99950153,266570.999763695,2012,BS,Samstag / 08h-09h / Mai 2012,Schleuder- oder Selbstunfall,Unfall mit Schwerverletzten,0,Nebenstrasse,Samstag , 08h-09h , Mai 2012,800,09h 
7.58514259814619,47.5478864545807,321,ADFE599676860026E0430A8394270026,611029.999809494,266362.000747176,2011,BS,Sonntag / 23h-00h / September 2011,Schleuder- oder Selbstunfall,Unfall mit Schwerverletzten,0,Nebenstrasse,Sonntag , 23h-00h , September 2011,2300,00h 
7.58361206944159,47.5517196976291,322,51C5A114F38F02F8E0530A839427FF6C,610913.999354228,266787.999601622,2017,BS,Freitag / 19h-20h / Mai 2017,Frontalkollision,Unfall mit Leichtverletzten,6,Nebenstrasse,Freitag , 19h-20h , Mai 2017,1900,20h 
7.58308708040653,47.5540857043227,323,51473BB267FC02FEE0530A839427BBB7,610873.999767384,267050.999607002,2017,BS,Dienstag / 13h-14h / Mai 2017,Fussgängerunfall,Unfall mit Leichtverletzten,8,Nebenstrasse,Dienstag , 13h-14h , Mai 2017,1300,14h 
7.58079355596721,47.5559052541268,324,4C44C5FD877300BEE0530A839427B7A4,610701.00007671,267252.999124941,2017,BS,Mittwoch / 17h-18h / März 2017,Schleuder- oder Selbstunfall,Unfall mit Leichtverletzten,0,Nebenstrasse,Mittwoch , 17h-18h , März 2017,1700,18h 
7.58611306633246,47.5529756859466,325,45D3370B27F00070E0530A839427DAE5,611101.998656934,266927.999719197,2016,BS,Donnerstag / 10h-11h / Dezember 2016,Überqueren der Fahrbahn,Unfall mit Leichtverletzten,5,Hauptstrasse,Donnerstag , 10h-11h , Dezember 2016,1000,11h 
7.5815477182271,47.5547351463781,326,3E095E85E7E30030E0530A839427E396,610758.000067394,267122.999123672,2016,BS,Freitag / 12h-13h / September 2016,Parkierunfall,Unfall mit Leichtverletzten,7,Nebenstrasse,Freitag , 12h-13h , September 2016,1200,13h 
7.58262224127466,47.5541402428289,327,42FDD0E47F5C0022E0530A839427CC03,610838.999913355,267056.99972133,2016,BS,Sonntag / 18h-19h / August 2016,Überqueren der Fahrbahn,Unfall mit Leichtverletzten,5,Nebenstrasse,Sonntag , 18h-19h , August 2016,1800,19h 
7.58148496965439,47.5561112640472,328,3BBE1AE628800006E0530A8394276781,610753.000065373,267275.999021529,2016,BS,Samstag / 19h-20h / August 2016,Schleuder- oder Selbstunfall,Unfall mit Schwerverletzten,0,Nebenstrasse,Samstag , 19h-20h , August 2016,1900,20h 
7.58136215393959,47.5548972598326,329,30FF0E38EE0601E6E0530A8394271A6C,610744.00007929,267140.998996282,2016,BS,Donnerstag / 16h-17h / Januar 2016,Einbiegeunfall,Unfall mit Leichtverletzten,4,Nebenstrasse,Donnerstag , 16h-17h , Januar 2016,1600,17h 
7.58432724986988,47.5557839734266,330,2B51E1C59E37015CE0530A839427323A,610966.999650835,267239.999137415,2016,BS,Montag / 19h-20h / Januar 2016,Einbiegeunfall,Unfall mit Schwerverletzten,4,Nebenstrasse,Montag , 19h-20h , Januar 2016,1900,20h 
7.58638023526925,47.5535059759378,331,25C374E1B9D900FEE0530A839427562A,611121.99868648,266986.999429599,2015,BS,Sonntag / 21h-22h / November 2015,Schleuder- oder Selbstunfall,Unfall mit Leichtverletzten,0,Nebenstrasse,Sonntag , 21h-22h , November 2015,2100,22h 
7.58426060046115,47.5557031133566,335,11B65A08D5880060E0530A8394278A85,610961.999650887,267230.99916855,2015,BS,Dienstag / 16h-17h / Februar 2015,Überqueren der Fahrbahn,Unfall mit Leichtverletzten,5,Hauptstrasse,Dienstag , 16h-17h , Februar 2015,1600,17h 
7.58629363593828,47.5558174679063,337,060299A79CBC0196E0530A8394279F1A,611114.999294714,267243.998434939,2014,BS,Donnerstag / 17h-18h / August 2014,Parkierunfall,Unfall mit Leichtverletzten,7,Nebenstrasse,Donnerstag , 17h-18h , August 2014,1700,18h 
7.58493716024866,47.5553335213719,339,FC7EB8F4BDE100A2E0430A839427303B,611012.999446156,267189.998983598,2014,BS,Dienstag / 17h-18h / Juni 2014,Schleuder- oder Selbstunfall,Unfall mit Leichtverletzten,0,Hauptstrasse,Dienstag , 17h-18h , Juni 2014,1700,18h 
7.58038028928035,47.5553751278353,340,FADB975A0FCC01E8E0430A839427B473,610670.000098524,267193.999234509,2014,BS,Freitag / 18h-19h / Mai 2014,Abbiegeunfall,Unfall mit Leichtverletzten,3,Nebenstrasse,Freitag , 18h-19h , Mai 2014,1800,19h 
7.58043367050823,47.5554650001391,341,C1400533BFA200BCE0430A8394278010,610674.000094535,267203.999217412,2012,BS,Freitag / 12h-13h / Mai 2012,Fussgängerunfall,Unfall mit Schwerverletzten,8,Nebenstrasse,Freitag , 12h-13h , Mai 2012,1200,13h 
7.58457134267897,47.5527347922836,342,B0AD4BE53205001AE0430A839427001A,610985.999069808,266900.999397684,2011,BS,Montag / 07h-08h / Oktober 2011,Parkierunfall,Unfall mit Leichtverletzten,7,Nebenstrasse,Montag , 07h-08h , Oktober 2011,700,08h 
7.58435787564276,47.5524022913159,343,AD852850D952009EE0430A839427009E,610969.999103744,266863.999464538,2011,BS,Mittwoch / 19h-20h / September 2011,Abbiegeunfall,Unfall mit Leichtverletzten,3,Nebenstrasse,Mittwoch , 19h-20h , September 2011,1900,20h 
7.58306046122013,47.5540677498812,345,A739C6503A8C01C4E0430A83942701C4,610871.999774462,267048.999613807,2011,BS,Sonntag / 19h-20h / Juni 2011,Parkierunfall,Unfall mit Leichtverletzten,7,Nebenstrasse,Sonntag , 19h-20h , Juni 2011,1900,20h 
7.58359174989709,47.554022120635,346,A5984C16C10510F8E0430A865E3310F8,610911.999604273,267043.999486811,2011,BS,Dienstag / 16h-17h / Mai 2011,Fussgängerunfall,Unfall mit Schwerverletzten,8,Nebenstrasse,Dienstag , 16h-17h , Mai 2011,1600,17h 
7.581092029365,47.5582252728717,348,55987B5411870048E0530A8394272AB3,610723.000040655,267510.999168696,2017,BS,Freitag / 08h-09h / Juni 2017,Abbiegeunfall,Unfall mit Schwerverletzten,3,Nebenstrasse,Freitag , 08h-09h , Juni 2017,800,09h 
7.58121163066942,47.5582341202855,350,45A69B9D4313024AE0530A839427564E,610732.000041907,267511.999154204,2016,BS,Mittwoch / 17h-18h / November 2016,Fussgängerunfall,Unfall mit Leichtverletzten,8,Nebenstrasse,Mittwoch , 17h-18h , November 2016,1700,18h 
7.58107893480968,47.5582972387548,352,39A5101AFBB50106E0530A839427B23D,610722.00003961,267518.99917618,2016,BS,Montag / 13h-14h / Juli 2016,Überqueren der Fahrbahn,Unfall mit Leichtverletzten,5,Nebenstrasse,Montag , 13h-14h , Juli 2016,1300,14h 
7.58116682934356,47.5563814656974,353,39A38DB8A4F20144E0530A839427F4A7,610729.000065147,267305.999054113,2016,BS,Dienstag / 11h-12h / Juli 2016,Überholunfall oder Fahrstreifenwechsel,Unfall mit Leichtverletzten,1,Hauptstrasse,Dienstag , 11h-12h , Juli 2016,1100,12h 
7.58199936337747,47.5596631602172,354,36523086DCB10086E0530A83942794F1,610791.000021638,267670.999544529,2016,BS,Dienstag / 18h-19h / Mai 2016,Abbiegeunfall,Unfall mit Leichtverletzten,3,Nebenstrasse,Dienstag , 18h-19h , Mai 2016,1800,19h 
